Title,Ease_Score,Download_Count,Index
"The City of Domes : a walk with an architect about the courts and palaces of the Panama-Pacific International Exposition, with a discussion of its architecture, its sculpture, its mural decorations, its coloring and its lighting, preceded by a history of its growth",63.7,83,3151
"A Defence of the Inquiry into Mesmerism & Phrenology
chiefly in relation to recent events in Lynn",43.4,92,54662
"The Waif of the ""Cynthia""",70,155,16344
A Modern Wizard,72.4,61,32985
"The Geography of the Region about Devil's Lake and the Dalles of the Wisconsin
With Some Notes on Its Surface Geology",65.7,124,38148
At the Earth's Core,73.7,206,545
"The Golden Bough: A Study in Magic and Religion (Third Edition, Vol. 12 of 12)",79.8,574,44772
"Philaster; Or, Love Lies a Bleeding",91.6,141,10850
Trips to the Moon,63.3,207,10430
"The Luzumiyat of Abu'l-Ala
Selected from his Luzum ma la Yalzam and Suct us-Zand",65.6,200,50457
"Punch, or the London Charivari, Volume 153, October 24, 1917",70.4,120,11076
Vistas of New York,79.1,55,39434
"Storyology: Essays in Folk-Lore, Sea-Lore, and Plant-Lore",61.4,134,29921
"The Diggings, the Bush, and Melbourne
or, Reminiscences of Three Years' Wanderings in Victoria",61.2,79,57498
Fair Em,80.9,104,5137
"Margaret Smith's Journal
Part 1 from Volume V of The Works of John Greenleaf Whittier",65.5,59,9587
Maida's Little Shop,84.7,135,17530
"The Letters of William James, Vol. 2",71.4,261,38091
Space-Liner X-87,85.2,80,61845
Aria da Capo,84.4,408,5790
Benjamin Franklin,53.3,158,21348
"Triumph of the Egg, and Other Stories",90.2,128,7048
